Customer ID,Services,ISP (INR),Marginal Cost (INR),Discount Type,Discount Amount (INR),Billed Cost (INR),Date,Time
200564,Haircut (Male)',149,149,,0,149,2022-05-07,23:49:51
300841,"Haircut (Male)', 'Beard Trimming'","149, 49",198,,0,198,2022-05-08,12:08:47
300419,"Beard Trimming', 'Haircut (Female)'","49, 249",298,,0,298,2022-05-08,18:03:21
100007,Beard Trimming',49,49,,0,49,2022-05-08,20:04:14
300439,"Eyebrow Threading', 'Beard Trimming'","74, 49",123,,0,123,2022-05-08,20:23:22
100237,Beard Trimming',49,49,Membership Card,4.9,44.1,2022-05-08,23:41:41
200684,"Beard Trimming', 'Manicure'","49, 239",288,,0,288,2022-05-09,3:12:28
200873,"Beard Trimming', 'Haircut (Female)'","49, 249",298,,0,298,2022-05-09,7:39:59
100661,Eyebrow Threading',74,74,,0,74,2022-05-09,10:37:09
200161,"Beard Trimming', 'Haircut (Female)'","49, 249",298,Membership Card,29.8,268.2,2022-05-09,12:11:14
100681,"Eyebrow Threading', 'Beard Trimming'","74, 49",123,,0,123,2022-05-10,2:42:15
100572,Haircut (Male)',149,149,,0,149,2022-05-10,9:58:25
200730,Eyebrow Threading',74,74,,0,74,2022-05-10,12:29:08
100962,Eyebrow Threading',74,74,,0,74,2022-05-10,13:12:37
200810,Haircut (Male)',149,149,Membership Card,14.9,134.1,2022-05-10,15:19:29
100306,Haircut (Female)',249,249,,0,249,2022-05-10,17:18:57
300747,Beard Trimming',49,49,,0,49,2022-05-10,22:11:27
200587,Beard Trimming',49,49,,0,49,2022-05-11,3:33:45
100709,"Haircut (Female)', 'Olive Hair Treatment'","249, 249",498,,0,498,2022-05-11,4:07:52
100090,"Haircut (Male)', 'Royal De-tan'","149, 529",678,,0,678,2022-05-11,4:38:28
100672,Haircut (Female)',249,249,,0,249,2022-05-11,6:22:18
100603,Eyebrow Threading',74,74,,0,74,2022-05-11,7:37:29
100986,"Haircut (Female)', 'Eyebrow Threading'","249, 74",323,,0,323,2022-05-11,11:05:51
300806,Haircut (Female)',249,249,Membership Card,24.9,224.1,2022-05-11,14:17:42
300027,"Haircut (Male)', 'Upper Body Waxing'","149, 1399",1548,,0,1548,2022-05-11,15:15:12
200028,"Haircut (Male)', 'Haircut (Female)'","149, 249",398,,0,398,2022-05-11,18:04:10
200709,"Beard Trimming', 'Haircut (Male)'","49, 149",198,,0,198,2022-05-11,18:43:07
100887,Eyebrow Threading',74,74,,0,74,2022-05-11,20:54:17
300176,Haircut (Female)',249,249,,0,249,2022-05-11,21:34:15
300693,"Beard Trimming', 'Beard Trimming'","49, 49",98,Membership Card,9.8,88.2,2022-05-11,23:35:05
100608,Beard Trimming',49,49,,0,49,2022-05-12,0:06:24
100007,"Beard Trimming', 'Eyebrow Threading'","49, 74",123,,0,123,2022-05-12,15:04:31
100861,Beard Trimming',49,49,,0,49,2022-05-12,16:43:21
100312,"Eyebrow Threading', 'Beard Trimming'","74, 49",123,,0,123,2022-05-13,7:20:36
100445,Haircut (Female)',249,249,Membership Card,24.9,224.1,2022-05-13,7:46:00
200873,Haircut (Female)',249,249,,0,249,2022-05-13,10:46:39
100922,Eyebrow Threading',74,74,,0,74,2022-05-13,11:37:50
100402,Haircut (Female)',249,249,,0,249,2022-05-13,17:42:29
300597,"Haircut (Male)', 'Haircut (Female)'","149, 249",398,,0,398,2022-05-13,19:15:32
300204,"Haircut (Female)', 'Olive Hair Treatment'","249, 249",498,Membership Card,49.8,448.2,2022-05-14,0:45:27
100229,Beard Trimming',49,49,,0,49,2022-05-14,5:40:10
300137,Haircut (Female)',249,249,,0,249,2022-05-14,11:32:00
300719,"Eyebrow Threading', 'Haircut (Female)'","74, 249",323,,0,323,2022-05-14,20:59:44
100253,"Beard Trimming', 'Haircut (Male)'","49, 149",198,,0,198,2022-05-14,21:03:26
300422,Eyebrow Threading',74,74,,0,74,2022-05-14,22:15:40
100303,Beard Trimming',49,49,,0,49,2022-05-14,22:16:47
300765,Haircut (Female)',249,249,,0,249,2022-05-14,23:48:23
200968,"Beard Trimming', 'Deep Hydrating'","49, 649",698,,0,698,2022-05-15,1:58:55
200924,"Beard Trimming', 'Haircut (Female)'","49, 249",298,,0,298,2022-05-15,7:19:08
100068,"Haircut (Female)', 'Beard Trimming'","249, 49",298,,0,298,2022-05-15,9:13:54
200528,Haircut (Male)',149,149,,0,149,2022-05-15,11:54:17
100922,Beard Trimming',49,49,,0,49,2022-05-15,20:21:33
200171,Haircut (Male)',149,149,,0,149,2022-05-16,2:05:44
200663,"Haircut (Female)', 'Haircut (Male)'","249, 149",398,,0,398,2022-05-16,3:22:56
200418,"Haircut (Female)', 'De-tan'","249, 249",498,,0,498,2022-05-16,10:58:00
100507,Haircut (Male)',149,149,,0,149,2022-05-16,21:53:42
300335,"Beard Trimming', 'Manicure'","49, 239",288,,0,288,2022-05-16,23:10:11
200991,"Beard Trimming', 'Haircut (Male)'","49, 149",198,,0,198,2022-05-16,23:30:14
100007,"Eyebrow Threading', 'Beard Trimming'","74, 49",123,,0,123,2022-05-17,15:58:08
100253,"Beard Trimming', 'Haircut (Female)'","49, 249",298,,0,298,2022-05-17,18:34:08
200920,"Eyebrow Threading', 'Eyebrow Threading'","74, 74",148,,0,148,2022-05-18,5:41:56
100663,Eyebrow Threading',74,74,,0,74,2022-05-18,19:14:48
200214,Haircut (Female)',249,249,Membership Card,24.9,224.1,2022-05-18,22:38:08
100383,Haircut (Male)',149,149,,0,149,2022-05-19,1:55:36
300288,Eyebrow Threading',74,74,,0,74,2022-05-19,6:52:01
300288,Beard Trimming',49,49,,0,49,2022-05-19,17:12:02
200014,"Eyebrow Threading', 'Eyebrow Threading'","74, 74",148,,0,148,2022-05-19,19:09:34
200998,"Eyebrow Threading', 'Haircut (Female)'","74, 249",323,,0,323,2022-05-20,3:28:55
300472,Haircut (Male)',149,149,,0,149,2022-05-20,10:54:45
300109,"Haircut (Female)', 'Haircut (Female)'","249, 249",498,,0,498,2022-05-21,3:28:10
200518,Beard Trimming',49,49,,0,49,2022-05-21,4:19:03
300597,"Beard Trimming', 'Haircut (Female)'","49, 249",298,,0,298,2022-05-21,4:55:14
100176,"Beard Trimming', 'Eyebrow Threading'","49, 74",123,,0,123,2022-05-21,8:52:20
200803,"Eyebrow Threading', 'Full Body Massage'","74, 1359",1433,,0,1433,2022-05-21,16:53:20
200001,Eyebrow Threading',74,74,,0,74,2022-05-21,18:31:10
300898,"Beard Trimming', 'Haircut (Male)'","49, 149",198,Membership Card,19.8,178.2,2022-05-22,5:13:00
300719,Haircut (Male)',149,149,,0,149,2022-05-22,8:22:24
100504,Haircut (Male)',149,149,,0,149,2022-05-22,11:04:47
200919,"Haircut (Female)', 'Olive Hair Treatment'","249, 249",498,,0,498,2022-05-22,16:18:14
100535,Haircut (Female)',249,249,,0,249,2022-05-23,7:26:55
300791,Haircut (Female)',249,249,,0,249,2022-05-23,12:43:32
200196,Haircut (Male)',149,149,Membership Card,14.9,134.1,2022-05-23,21:12:38
200966,Beard Trimming',49,49,,0,49,2022-05-24,2:35:50
100270,"Haircut (Male)', 'Eyebrow Threading'","149, 74",223,,0,223,2022-05-24,7:17:00
200603,Haircut (Male)',149,149,,0,149,2022-05-24,12:39:15
300575,"Eyebrow Threading', 'Haircut (Female)'","74, 249",323,,0,323,2022-05-24,22:03:01
100803,Beard Trimming',49,49,,0,49,2022-05-24,23:58:50
100270,Haircut (Male)',149,149,,0,149,2022-05-25,6:43:48
300699,Haircut (Male)',149,149,,0,149,2022-05-26,0:17:45
100423,Haircut (Male)',149,149,,0,149,2022-05-26,10:00:11
200230,Haircut (Male)',149,149,,0,149,2022-05-26,11:26:45
200881,Beard Trimming',49,49,,0,49,2022-05-26,11:35:07
200599,Eyebrow Threading',74,74,,0,74,2022-05-26,12:54:47
300180,Haircut (Male)',149,149,,0,149,2022-05-26,15:17:36
300124,Beard Trimming',49,49,,0,49,2022-05-26,15:38:11
300227,"Haircut (Female)', 'Beard Trimming'","249, 49",298,,0,298,2022-05-27,7:57:20
100068,Haircut (Male)',149,149,,0,149,2022-05-27,8:27:38
200411,"Haircut (Male)', 'Olive Hair Treatment'","149, 249",398,Membership Card,39.8,358.2,2022-05-27,15:29:00
100600,Eyebrow Threading',74,74,,0,74,2022-05-27,20:09:54
100120,"Eyebrow Threading', 'Haircut (Male)', 'Beard Trimming'","74, 149, 49",272,Membership Card,27.2,244.8,2022-05-27,22:04:35
300699,Haircut (Female)',249,249,,0,249,2022-05-27,22:32:49
200474,"Eyebrow Threading', 'Eyebrow Threading'","74, 74",148,,0,148,2022-05-28,7:56:05
100906,Haircut (Male)',149,149,,0,149,2022-05-28,7:58:34
100669,Eyebrow Threading',74,74,,0,74,2022-05-28,16:20:44
300352,Eyebrow Threading',74,74,,0,74,2022-05-28,19:21:07
100531,"Eyebrow Threading', 'Haircut (Female)'","74, 249",323,,0,323,2022-05-28,23:12:45
100680,"Haircut (Male)', 'Olive Hair Treatment'","149, 249",398,,0,398,2022-05-29,0:47:52
100236,Beard Trimming',49,49,,0,49,2022-05-29,9:33:40
200945,"Beard Trimming', 'Pedicure'","49, 249",298,,0,298,2022-05-29,13:38:27
300575,"Haircut (Female)', 'Haircut (Male)'","249, 149",398,,0,398,2022-05-29,21:15:57
300689,"Haircut (Male)', 'Haircut (Male)'","149, 149",298,,0,298,2022-05-29,21:17:02
200161,"Eyebrow Threading', 'Eyebrow Threading'","74, 74",148,Membership Card,14.8,133.2,2022-05-30,1:21:22
300653,Beard Trimming',49,49,,0,49,2022-05-30,2:51:56
300892,Eyebrow Threading',74,74,,0,74,2022-05-30,9:18:28
100676,Eyebrow Threading',74,74,Membership Card,7.4,66.6,2022-05-30,19:48:30
100908,"Haircut (Male)', 'Haircut (Male)'","149, 149",298,,0,298,2022-05-30,19:51:23
200474,Haircut (Female)',249,249,,0,249,2022-06-01,1:33:02
300247,Haircut (Female)',249,249,,0,249,2022-06-01,6:24:53
300422,"Eyebrow Threading', 'Beard Trimming'","74, 49",123,,0,123,2022-06-01,10:54:17
300957,Eyebrow Threading',74,74,Membership Card,7.4,66.6,2022-06-01,22:47:35
100414,Beard Trimming',49,49,,0,49,2022-06-02,5:20:10
200827,"Haircut (Female)', 'Beard Trimming'","249, 49",298,,0,298,2022-06-02,9:50:05
200514,Haircut (Male)',149,149,,0,149,2022-06-02,18:45:34
300123,"Haircut (Female)', 'Beard Trimming'","249, 49",298,,0,298,2022-06-02,19:14:59
200152,Haircut (Male)',149,149,,0,149,2022-06-02,22:32:21
300759,"Haircut (Male)', 'Haircut (Female)'","149, 249",398,,0,398,2022-06-02,23:18:05
100531,Haircut (Female)',249,249,,0,249,2022-06-03,9:12:53
300837,"Beard Trimming', 'Haircut (Male)'","49, 149",198,,0,198,2022-06-03,10:23:26
300365,Beard Trimming',49,49,,0,49,2022-06-03,11:03:14
300625,Haircut (Female)',249,249,Membership Card,24.9,224.1,2022-06-03,12:46:09
100429,"Eyebrow Threading', 'Haircut (Female)'","74, 249",323,Membership Card,32.3,290.7,2022-06-03,15:20:59
200127,Eyebrow Threading',74,74,,0,74,2022-06-03,15:46:17
300981,Haircut (Male)',149,149,,0,149,2022-06-03,18:25:06
300095,"Haircut (Male)', 'Haircut (Female)'","149, 249",398,,0,398,2022-06-03,18:29:08
200684,Beard Trimming',49,49,,0,49,2022-06-04,2:38:39
100507,Haircut (Female)',249,249,,0,249,2022-06-04,4:38:59
100603,"Eyebrow Threading', 'Olive Hair Treatment'","74, 249",323,,0,323,2022-06-04,8:52:36
300687,"Haircut (Male)', 'Haircut (Male)'","149, 149",298,,0,298,2022-06-04,16:44:08
300459,"Haircut (Female)', 'Pedicure'","249, 249",498,,0,498,2022-06-04,17:41:27
100336,Beard Trimming',49,49,,0,49,2022-06-04,18:44:07
300472,Haircut (Female)',249,249,,0,249,2022-06-04,21:41:04
300020,"Eyebrow Threading', 'Haircut (Male)'","74, 149",223,,0,223,2022-06-05,9:40:39
100776,Haircut (Female)',249,249,,0,249,2022-06-06,3:00:32
200126,Haircut (Male)',149,149,Membership Card,14.9,134.1,2022-06-06,4:32:35
300982,Eyebrow Threading',74,74,,0,74,2022-06-06,6:43:00
300135,Haircut (Female)',249,249,,0,249,2022-06-06,16:06:20
200548,"Beard Trimming', 'Haircut (Male)'","49, 149",198,Membership Card,19.8,178.2,2022-06-07,1:32:30
100197,"Eyebrow Threading', 'Beard Trimming'","74, 49",123,,0,123,2022-06-07,5:17:15
100036,Eyebrow Threading',74,74,,0,74,2022-06-07,19:59:52
200873,Haircut (Female)',249,249,,0,249,2022-06-08,6:02:11
100709,"Haircut (Male)', 'Eyebrow Threading'","149, 74",223,,0,223,2022-06-08,22:12:54
300229,Haircut (Male)',149,149,,0,149,2022-06-08,23:39:28
200676,Haircut (Female)',249,249,,0,249,2022-06-09,17:09:04
300137,"Eyebrow Threading', 'Eyebrow Threading'","74, 74",148,,0,148,2022-06-09,17:58:46
200534,"Eyebrow Threading', 'Eyebrow Threading', 'Beard Trimming'","74, 74, 49",197,,0,197,2022-06-09,18:43:42
300641,"Beard Trimming', 'Beard Trimming'","49, 49",98,,0,98,2022-06-10,13:40:50
200435,"Eyebrow Threading', 'Beard Trimming'","74, 49",123,,0,123,2022-06-10,19:19:30
300833,"Eyebrow Threading', 'Haircut (Female)'","74, 249",323,,0,323,2022-06-10,22:59:19
100663,"Beard Trimming', 'Beard Trimming'","49, 49",98,,0,98,2022-06-11,0:29:32
200507,Eyebrow Threading',74,74,,0,74,2022-06-12,4:31:03
100676,"Eyebrow Threading', 'Beard Trimming'","74, 49",123,Membership Card,12.3,110.7,2022-06-12,5:09:05
300031,Haircut (Male)',149,149,,0,149,2022-06-12,5:29:37
100863,Eyebrow Threading',74,74,,0,74,2022-06-12,10:15:20
300032,Eyebrow Threading',74,74,,0,74,2022-06-13,0:04:03
200028,"Beard Trimming', 'Beard Trimming'","49, 49",98,,0,98,2022-06-13,6:44:53
100155,Haircut (Female)',249,249,,0,249,2022-06-13,9:57:40
300625,"Haircut (Male)', 'Haircut (Male)'","149, 149",298,Membership Card,29.8,268.2,2022-06-13,17:07:32
200865,Haircut (Female)',249,249,,0,249,2022-06-14,0:00:09
300509,Beard Trimming',49,49,Membership Card,4.9,44.1,2022-06-14,7:18:12
100383,Haircut (Female)',249,249,,0,249,2022-06-14,7:37:26
300140,Haircut (Male)',149,149,,0,149,2022-06-14,7:37:57
100271,"Haircut (Male)', 'Beard Trimming'","149, 49",198,,0,198,2022-06-14,8:38:49
300254,"Eyebrow Threading', 'Beard Trimming'","74, 49",123,,0,123,2022-06-14,9:42:01
300719,Haircut (Male)',149,149,,0,149,2022-06-14,10:43:35
100731,Haircut (Female)',249,249,,0,249,2022-06-14,18:21:54
300369,Haircut (Female)',249,249,Membership Card,24.9,224.1,2022-06-15,5:58:24
100535,Haircut (Female)',249,249,,0,249,2022-06-15,6:47:23
100498,"Beard Trimming', 'Haircut (Male)'","49, 149",198,,0,198,2022-06-15,9:39:12
300176,"Beard Trimming', 'Haircut (Female)'","49, 249",298,,0,298,2022-06-15,10:45:21
200363,"Beard Trimming', 'Haircut (Female)'","49, 249",298,,0,298,2022-06-15,14:51:54
300253,"Haircut (Male)', 'Haircut (Male)'","149, 149",298,,0,298,2022-06-15,19:02:43
300444,"Haircut (Female)', 'Full Body Massage'","249, 1359",1608,,0,1608,2022-06-15,21:32:11
300285,Haircut (Female)',249,249,,0,249,2022-06-16,7:05:24
200748,Haircut (Male)',149,149,,0,149,2022-06-16,14:39:15
300031,Haircut (Female)',249,249,,0,249,2022-06-16,17:03:23
200011,Eyebrow Threading',74,74,,0,74,2022-06-16,22:20:37
100535,Haircut (Female)',249,249,,0,249,2022-06-17,5:50:32
300913,Beard Trimming',49,49,,0,49,2022-06-17,10:54:07
300900,Eyebrow Threading',74,74,,0,74,2022-06-17,12:38:59
300901,"Haircut (Male)', 'Haircut (Female)'","149, 249",398,,0,398,2022-06-17,17:57:26
100416,"Haircut (Female)', 'Haircut (Male)'","249, 149",398,,0,398,2022-06-17,20:45:21
100194,Beard Trimming',49,49,,0,49,2022-06-17,20:58:04
200783,"Beard Trimming', 'Beard Trimming'","49, 49",98,,0,98,2022-06-18,2:26:05
100672,Beard Trimming',49,49,,0,49,2022-06-18,6:59:42
